Epoch: [15][420/1500]	 Time 0.288 (0.288)	 Loss 0.015413 (0.017468)
Epoch: [15][480/1500]	 Time 0.287 (0.288)	 Loss 0.015585 (0.017385)
Epoch: [15][540/1500]	 Time 0.290 (0.288)	 Loss 0.017608 (0.017406)
Epoch: [15][600/1500]	 Time 0.287 (0.288)	 Loss 0.017933 (0.017477)
Epoch: [15][660/1500]	 Time 0.288 (0.288)	 Loss 0.019492 (0.017556)
Epoch: [15][720/1500]	 Time 0.288 (0.288)	 Loss 0.018956 (0.017553)
Epoch: [15][780/1500]	 Time 0.285 (0.288)	 Loss 0.020975 (0.017502)
Epoch: [15][840/1500]	 Time 0.290 (0.288)	 Loss 0.027111 (0.017484)
Epoch: [15][900/1500]	 Time 0.290 (0.288)	 Loss 0.023105 (0.017500)
Epoch: [15][960/1500]	 Time 0.288 (0.288)	 Loss 0.017559 (0.017506)
Epoch: [15][1020/1500]	 Time 0.289 (0.288)	 Loss 0.019887 (0.017490)
Epoch: [15][1080/1500]	 Time 0.285 (0.288)	 Loss 0.016098 (0.017538)
Epoch: [15][1140/1500]	 Time 0.290 (0.288)	 Loss 0.021797 (0.017516)
Epoch: [15][1200/1500]	 Time 0.290 (0.288)	 Loss 0.012704 (0.017508)
Epoch: [15][1260/1500]	 Time 0.289 (0.288)	 Loss 0.016361 (0.017492)
Epoch: [15][1320/1500]	 Time 0.288 (0.288)	 Loss 0.020802 (0.017501)
Epoch: [15][1380/1500]	 Time 0.292 (0.288)	 Loss 0.018061 (0.017492)
Epoch: [15][1440/1500]	 Time 0.290 (0.288)	 Loss 0.017573 (0.017467)
Val/Test: [0/375]	 Time 0.508 (0.508)	 Loss 0.021830 (0.021830)
Val/Test: [60/375]	 Time 0.281 (0.280)	 Loss 0.017779 (0.018474)
Val/Test: [120/375]	 Time 0.276 (0.279)	 Loss 0.018206 (0.017987)
Val/Test: [180/375]	 Time 0.277 (0.278)	 Loss 0.021836 (0.018089)
Val/Test: [240/375]	 Time 0.277 (0.278)	 Loss 0.018557 (0.018078)
Val/Test: [300/375]	 Time 0.278 (0.278)	 Loss 0.022607 (0.018045)
Val/Test: [360/375]	 Time 0.278 (0.277)	 Loss 0.014001 (0.017984)
Epoch: [16][0/1500]	 Time 0.490 (0.490)	 Loss 0.017916 (0.017916)
Epoch: [16][60/1500]	 Time 0.288 (0.291)	 Loss 0.015466 (0.017584)
Epoch: [16][120/1500]	 Time 0.286 (0.290)	 Loss 0.022478 (0.017536)
Epoch: [16][180/1500]	 Time 0.286 (0.289)	 Loss 0.025363 (0.017641)
Epoch: [16][240/1500]	 Time 0.285 (0.289)	 Loss 0.020143 (0.017466)
Epoch: [16][300/1500]	 Time 0.288 (0.289)	 Loss 0.012572 (0.017399)
Epoch: [16][360/1500]	 Time 0.287 (0.289)	 Loss 0.022390 (0.017412)
Epoch: [16][420/1500]	 Time 0.285 (0.289)	 Loss 0.017429 (0.017582)
Epoch: [16][480/1500]	 Time 0.286 (0.288)	 Loss 0.020157 (0.017581)
Epoch: [16][540/1500]	 Time 0.286 (0.288)	 Loss 0.018109 (0.017518)
Epoch: [16][600/1500]	 Time 0.290 (0.288)	 Loss 0.016037 (0.017516)
Epoch: [16][660/1500]	 Time 0.292 (0.288)	 Loss 0.016242 (0.017449)
Epoch: [16][720/1500]	 Time 0.290 (0.288)	 Loss 0.020465 (0.017498)
Epoch: [16][780/1500]	 Time 0.292 (0.288)	 Loss 0.014577 (0.017491)
Epoch: [16][840/1500]	 Time 0.290 (0.288)	 Loss 0.017028 (0.017490)
Epoch: [16][900/1500]	 Time 0.285 (0.288)	 Loss 0.019179 (0.017461)
Epoch: [16][960/1500]	 Time 0.285 (0.288)	 Loss 0.012470 (0.017430)
Epoch: [16][1020/1500]	 Time 0.290 (0.288)	 Loss 0.017735 (0.017407)
Epoch: [16][1080/1500]	 Time 0.290 (0.288)	 Loss 0.019348 (0.017434)
Epoch: [16][1140/1500]	 Time 0.288 (0.288)	 Loss 0.020287 (0.017429)
Epoch: [16][1200/1500]	 Time 0.289 (0.288)	 Loss 0.019404 (0.017426)
Epoch: [16][1260/1500]	 Time 0.285 (0.288)	 Loss 0.019656 (0.017442)
Epoch: [16][1320/1500]	 Time 0.284 (0.288)	 Loss 0.014076 (0.017457)
Epoch: [16][1380/1500]	 Time 0.286 (0.288)	 Loss 0.017442 (0.017478)
Epoch: [16][1440/1500]	 Time 0.286 (0.288)	 Loss 0.013371 (0.017492)
Val/Test: [0/375]	 Time 0.486 (0.486)	 Loss 0.017774 (0.017774)
Val/Test: [60/375]	 Time 0.280 (0.280)	 Loss 0.013157 (0.017989)
Val/Test: [120/375]	 Time 0.275 (0.279)	 Loss 0.019689 (0.018049)
Val/Test: [180/375]	 Time 0.278 (0.278)	 Loss 0.017188 (0.017893)
Val/Test: [240/375]	 Time 0.278 (0.278)	 Loss 0.013400 (0.018162)
Val/Test: [300/375]	 Time 0.277 (0.278)	 Loss 0.019698 (0.018172)
Val/Test: [360/375]	 Time 0.276 (0.277)	 Loss 0.014430 (0.018182)
Epoch: [17][0/1500]	 Time 0.489 (0.489)	 Loss 0.012994 (0.012994)
Epoch: [17][60/1500]	 Time 0.289 (0.291)	 Loss 0.018260 (0.017099)
Epoch: [17][120/1500]	 Time 0.290 (0.289)	 Loss 0.015645 (0.017255)
Epoch: [17][180/1500]	 Time 0.288 (0.289)	 Loss 0.014188 (0.017093)
Epoch: [17][240/1500]	 Time 0.289 (0.288)	 Loss 0.020653 (0.017266)
Epoch: [17][300/1500]	 Time 0.289 (0.288)	 Loss 0.015837 (0.017269)
Epoch: [17][360/1500]	 Time 0.286 (0.288)	 Loss 0.017645 (0.017347)
Epoch: [17][420/1500]	 Time 0.287 (0.288)	 Loss 0.018757 (0.017379)
Epoch: [17][480/1500]	 Time 0.289 (0.288)	 Loss 0.017352 (0.017346)
Epoch: [17][540/1500]	 Time 0.290 (0.288)	 Loss 0.012345 (0.017395)
Epoch: [17][600/1500]	 Time 0.288 (0.288)	 Loss 0.019259 (0.017381)
Epoch: [17][660/1500]	 Time 0.288 (0.288)	 Loss 0.017795 (0.017376)
Epoch: [17][720/1500]	 Time 0.287 (0.288)	 Loss 0.015642 (0.017343)
Epoch: [17][780/1500]	 Time 0.288 (0.288)	 Loss 0.017669 (0.017338)
Epoch: [17][840/1500]	 Time 0.285 (0.288)	 Loss 0.019523 (0.017357)
Epoch: [17][900/1500]	 Time 0.289 (0.288)	 Loss 0.019652 (0.017368)
Epoch: [17][960/1500]	 Time 0.286 (0.288)	 Loss 0.016568 (0.017419)
Epoch: [17][1020/1500]	 Time 0.291 (0.288)	 Loss 0.015546 (0.017428)
Epoch: [17][1080/1500]	 Time 0.290 (0.288)	 Loss 0.017981 (0.017434)
Epoch: [17][1140/1500]	 Time 0.289 (0.288)	 Loss 0.017232 (0.017480)
Epoch: [17][1200/1500]	 Time 0.289 (0.288)	 Loss 0.013271 (0.017505)
Epoch: [17][1260/1500]	 Time 0.286 (0.288)	 Loss 0.016325 (0.017481)
Epoch: [17][1320/1500]	 Time 0.286 (0.288)	 Loss 0.012322 (0.017454)
Epoch: [17][1380/1500]	 Time 0.285 (0.288)	 Loss 0.015812 (0.017442)
Epoch: [17][1440/1500]	 Time 0.290 (0.288)	 Loss 0.020040 (0.017465)
Val/Test: [0/375]	 Time 0.471 (0.471)	 Loss 0.012889 (0.012889)
Val/Test: [60/375]	 Time 0.278 (0.280)	 Loss 0.020098 (0.018402)
Val/Test: [120/375]	 Time 0.276 (0.278)	 Loss 0.016230 (0.018024)
Val/Test: [180/375]	 Time 0.274 (0.278)	 Loss 0.021503 (0.018017)
Val/Test: [240/375]	 Time 0.274 (0.278)	 Loss 0.014230 (0.018046)
Val/Test: [300/375]	 Time 0.277 (0.277)	 Loss 0.017130 (0.018032)
Val/Test: [360/375]	 Time 0.281 (0.277)	 Loss 0.016262 (0.017966)
Epoch: [18][0/1500]	 Time 0.495 (0.495)	 Loss 0.017258 (0.017258)
Epoch: [18][60/1500]	 Time 0.289 (0.291)	 Loss 0.017907 (0.016953)
Epoch: [18][120/1500]	 Time 0.291 (0.289)	 Loss 0.017546 (0.017197)
Epoch: [18][180/1500]	 Time 0.290 (0.289)	 Loss 0.018837 (0.017330)
Epoch: [18][240/1500]	 Time 0.290 (0.289)	 Loss 0.018880 (0.017368)
Epoch: [18][300/1500]	 Time 0.288 (0.289)	 Loss 0.016330 (0.017287)
Epoch: [18][360/1500]	 Time 0.287 (0.288)	 Loss 0.017507 (0.017229)
Epoch: [18][420/1500]	 Time 0.287 (0.288)	 Loss 0.022237 (0.017312)
Epoch: [18][480/1500]	 Time 0.287 (0.288)	 Loss 0.013113 (0.017292)
Epoch: [18][540/1500]	 Time 0.290 (0.288)	 Loss 0.017407 (0.017276)
Epoch: [18][600/1500]	 Time 0.289 (0.288)	 Loss 0.019435 (0.017365)
Epoch: [18][660/1500]	 Time 0.290 (0.288)	 Loss 0.016153 (0.017348)
Epoch: [18][720/1500]	 Time 0.293 (0.288)	 Loss 0.015223 (0.017341)
Epoch: [18][780/1500]	 Time 0.287 (0.288)	 Loss 0.012109 (0.017369)
Epoch: [18][840/1500]	 Time 0.286 (0.288)	 Loss 0.022189 (0.017408)
Epoch: [18][900/1500]	 Time 0.290 (0.288)	 Loss 0.016140 (0.017379)
Epoch: [18][960/1500]	 Time 0.291 (0.288)	 Loss 0.017388 (0.017395)
Epoch: [18][1020/1500]	 Time 0.287 (0.288)	 Loss 0.015743 (0.017447)
Epoch: [18][1080/1500]	 Time 0.285 (0.288)	 Loss 0.015537 (0.017432)
Epoch: [18][1140/1500]	 Time 0.286 (0.288)	 Loss 0.017466 (0.017408)
Epoch: [18][1200/1500]	 Time 0.291 (0.288)	 Loss 0.021929 (0.017419)
Epoch: [18][1260/1500]	 Time 0.291 (0.288)	 Loss 0.022450 (0.017405)
Epoch: [18][1320/1500]	 Time 0.288 (0.288)	 Loss 0.015187 (0.017410)
Epoch: [18][1380/1500]	 Time 0.290 (0.288)	 Loss 0.020481 (0.017397)
Epoch: [18][1440/1500]	 Time 0.287 (0.288)	 Loss 0.022378 (0.017372)
Val/Test: [0/375]	 Time 0.484 (0.484)	 Loss 0.013231 (0.013231)
Val/Test: [60/375]	 Time 0.275 (0.279)	 Loss 0.018553 (0.018125)
Val/Test: [120/375]	 Time 0.278 (0.278)	 Loss 0.015390 (0.018103)
Val/Test: [180/375]	 Time 0.276 (0.278)	 Loss 0.015374 (0.018202)
Val/Test: [240/375]	 Time 0.276 (0.277)	 Loss 0.020251 (0.018246)
Val/Test: [300/375]	 Time 0.277 (0.277)	 Loss 0.019438 (0.018245)
Val/Test: [360/375]	 Time 0.275 (0.277)	 Loss 0.022358 (0.018283)
Epoch: [19][0/1500]	 Time 0.491 (0.491)	 Loss 0.015329 (0.015329)
Epoch: [19][60/1500]	 Time 0.290 (0.291)	 Loss 0.016521 (0.017215)
Epoch: [19][120/1500]	 Time 0.288 (0.290)	 Loss 0.011355 (0.017010)
Epoch: [19][180/1500]	 Time 0.287 (0.289)	 Loss 0.017483 (0.017072)
